,name,geometry,maxspeed
50,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5872207 40.6844358, -8.587081299999999 40.6841388, -8.586963300000001 40.6837646, -8.5867728 40.6830425, -8.586445599999999 40.6817713, -8.5861666 40.680801, -8.5861328 40.6806832)",50
51,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5872207 40.6844358, -8.587465999999999 40.685362, -8.587548099999999 40.6856721)",50
52,Rua Capitão Acácio,"LINESTRING (-8.6197751 40.6367996, -8.618990500000001 40.6373544)",50
53,Rua do Viso,"LINESTRING (-8.6197751 40.6367996, -8.619942099999999 40.6369738, -8.620243 40.6372877, -8.6203322 40.6373807, -8.6204246 40.6374771)",50
54,Rua do Viso,"LINESTRING (-8.6197751 40.6367996, -8.619218999999999 40.6362267, -8.6191756 40.636182, -8.6191326 40.6361376, -8.6190538 40.6360565, -8.6188716 40.6359394)",50
55,Rua do Monte do Paço,"LINESTRING (-8.6233612 40.666398, -8.6222358 40.6666744)",50
56,Rua Manuel Fernandes da Silva,"LINESTRING (-8.6233612 40.666398, -8.623589000000001 40.6666017, -8.6237555 40.6667767, -8.623817000000001 40.6668414, -8.6238735 40.6669241, -8.6239726 40.6670692, -8.624071799999999 40.6673097, -8.624165899999999 40.6675809)",50
57,Rua dos Lavadouros,"LINESTRING (-8.6233612 40.666398, -8.6243512 40.6660436, -8.6244675 40.6659962)",50
58,Rua do Vero,"LINESTRING (-8.6233612 40.666398, -8.6230461 40.6661634, -8.623016399999999 40.6661501, -8.6226479 40.6659858, -8.6225136 40.6659259, -8.6221918 40.6657673, -8.6218676 40.6651786, -8.6218109 40.6650755, -8.6216942 40.6649182, -8.6212114 40.6645602, -8.6203141 40.6639323)",50
59,,"LINESTRING (-8.648952299999999 40.6254993, -8.649217200000001 40.6251882)",50
60,,"LINESTRING (-8.6194709 40.6584919, -8.6196822 40.6582762, -8.619945700000001 40.6580249, -8.6200188 40.6579556, -8.6201153 40.6578844, -8.6202095 40.6578138, -8.6209995 40.6573066, -8.6228032 40.6563163, -8.6235354 40.6559501, -8.6239752 40.6559745)",50
61,Avenida da Força Aérea Portuguesa,"LINESTRING (-8.6424846 40.6455938, -8.6424381 40.6455557, -8.6423843 40.6455023, -8.6423863 40.6454067)",50
62,Avenida Nossa Senhora da Alegria,"LINESTRING (-8.6424846 40.6455938, -8.6424188 40.6455941, -8.6422826 40.6455948)",50
63,Travessa 25 de Abril,"LINESTRING (-8.6148718 40.6368133, -8.614715199999999 40.6367878)",50
64,Rua General Humberto Delgado,"LINESTRING (-8.6148718 40.6368133, -8.614989599999999 40.6362539)",50
65,Avenida Manuel Álvaro Lopes Pereira,"LINESTRING (-8.60033 40.6810341, -8.6003004 40.6810559)",50
66,Avenida Manuel Álvaro Lopes Pereira,"LINESTRING (-8.60033 40.6810341, -8.600849200000001 40.6807136)",50
67,Rua das Russadinhas,"LINESTRING (-8.60033 40.6810341, -8.600235100000001 40.6809593, -8.600173399999999 40.6809106, -8.599340099999999 40.6802792)",50
68,Rua das Cercas,"LINESTRING (-8.624935900000001 40.6949164, -8.624721299999999 40.6947416, -8.6240293 40.6936515, -8.6237128 40.6933302, -8.6231305 40.6930815, -8.622521900000001 40.692895, -8.622491999999999 40.6928536)",50
69,,"LINESTRING (-8.624935900000001 40.6949164, -8.625389 40.6949277, -8.6256357 40.6949358, -8.625861 40.6949155, -8.6263492 40.6948789, -8.6267247 40.694883, -8.6269983 40.694887, -8.627523999999999 40.6948789, -8.628055099999999 40.6948626, -8.629680499999999 40.6948138, -8.6321586 40.6947203, -8.6340629 40.6946715, -8.635742 40.6946308, -8.636632499999999 40.6945942, -8.6373943 40.6945535, -8.6375981 40.6945128, -8.6378948 40.6944484, -8.6386924 40.6943502, -8.639303999999999 40.6942444)",50
