,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
29,2358,410364078,1650475420,0,152213787,Rotunda da Junqueira,50,residential,True,28.939,"LINESTRING (-8.6112143 40.6635834, -8.6111465 40.6635973, -8.6110855 40.6636222, -8.6110349 40.6636558, -8.610994399999999 40.6636981, -8.610967799999999 40.6637451)",2,EN 109,EN 16,,roundabout,,
30,2359,1724106927,1724107266,0,480672087,,50,residential,False,25.907,"LINESTRING (-8.6558221 40.6130396, -8.6557207 40.6128197)",2,EN 109,,,,,
31,2360,1724106927,1604812147,0,480672087,,50,residential,False,233.564,"LINESTRING (-8.6558221 40.6130396, -8.656053999999999 40.6134676, -8.656473500000001 40.6143002, -8.6565365 40.6145084, -8.656526899999999 40.6147644, -8.656432499999999 40.6150315)",2,EN 109,,,,,
32,2399,1110673632,1499470391,0,544834943,,50,residential,False,320.94,"LINESTRING (-8.617408299999999 40.6562812, -8.6166448 40.6571201, -8.615632400000001 40.6581957, -8.6152148 40.6586394)",2,EN 109,EN 16,,,,
33,2400,1110673632,1558059146,0,"[601131929, 95841110]",,50,residential,True,144.19400000000002,"LINESTRING (-8.617408299999999 40.6562812, -8.617789999999999 40.6559053, -8.618117700000001 40.6555694, -8.618172400000001 40.655509, -8.6184055 40.6552291)","['1', '2']",EN 109,EN 16,,,,
34,2406,1110673646,1110673720,0,"[95841104, 95841137, 95841160]",,50,residential,True,263.296,"LINESTRING (-8.626972200000001 40.6456974, -8.626707 40.6459939, -8.626618199999999 40.6460894, -8.6262708 40.6464719, -8.6259177 40.646848, -8.6251879 40.64764)",2,EN 109,EN 16,,,,yes
35,2447,1110673689,330341455,0,95841119,,50,residential,True,83.736,"LINESTRING (-8.6239893 40.6489405, -8.6234296 40.6495624)",3,EN 109,EN 16,yes,,,
36,2452,1110673691,3783345499,0,34058467,,50,residential,True,86.158,"LINESTRING (-8.6235608 40.6496258, -8.6241428 40.6489891)",3,EN 109,EN 16,yes,,,
37,2453,1110673694,1110673689,0,601812377,,50,residential,True,158.439,"LINESTRING (-8.6250655 40.6477728, -8.6239893 40.6489405)",2,EN 109,EN 16,,,,
38,2473,385009969,1489699028,0,30008054,,50,residential,True,11.666,"LINESTRING (-8.6320275 40.6408807, -8.632087 40.640786)",3,EN 109,,roundabout,,,
39,2476,1110673720,1110673694,0,601812378,,50,residential,True,18.019,"LINESTRING (-8.6251879 40.64764, -8.6250655 40.6477728)",3,EN 109,EN 16,,,,
40,2557,1724107266,1724106927,0,480672087,,50,residential,False,25.907,"LINESTRING (-8.6557207 40.6128197, -8.6558221 40.6130396)",2,EN 109,,,,,
41,2845,385010593,1330213783,0,"[507548441, 118248798]",,50,residential,True,375.90099999999995,"LINESTRING (-8.638075300000001 40.6338814, -8.6398245 40.6326179, -8.6407574 40.6319726, -8.6413259 40.6315702)","['1', '2']",EN 109,,,,,
42,2876,1443531718,1443531751,0,"[135672088, 135672084, 152282270]",,50,residential,True,310.432,"LINESTRING (-8.643891500000001 40.6296543, -8.6435619 40.6298797, -8.642660100000001 40.6305293, -8.642236499999999 40.630839, -8.641773000000001 40.6311698, -8.6412768 40.631524, -8.6412142 40.6315687)",2,EN 109,yes,,,,
43,2903,1443531751,1443531822,0,"[507548440, 135672084, 131117149, 131117151]",,50,residential,True,689.6609999999998,"LINESTRING (-8.6412142 40.6315687, -8.6411438 40.6316212, -8.640715200000001 40.6319296, -8.640549699999999 40.6320486, -8.639953 40.632473, -8.6393731 40.6328827, -8.6391186 40.6330484, -8.638768600000001 40.6332974, -8.6382881 40.6336473, -8.637966499999999 40.6338786, -8.6376759 40.6341011, -8.6374706 40.6342658, -8.637213600000001 40.6344765, -8.636926799999999 40.6347411, -8.6366646 40.6349999, -8.6363921 40.6352822, -8.6360873 40.6356162, -8.6357727 40.6359563, -8.6356614 40.6360876)","['1', '2']",EN 109,yes,,,,
44,2967,1443531822,1443531846,0,131117151,,50,residential,True,209.589,"LINESTRING (-8.6356614 40.6360876, -8.6355836 40.6361966, -8.635400199999999 40.6364083, -8.635070799999999 40.6367631, -8.6345826 40.6373032, -8.6342619 40.6376438)",1,EN 109,,,,,
45,2995,1443531846,1702680392,0,549319296,,50,residential,True,26.878,"LINESTRING (-8.6342619 40.6376438, -8.6340775 40.6378409)",2,EN 109,,,,,
46,3126,4736412821,1604822193,0,239807821,,50,residential,False,197.447,"LINESTRING (-8.6551037 40.6183481, -8.6537975 40.6198212)",2,EN 109,,,,,
47,3127,4736412821,4736412822,0,480672088,,50,residential,True,5.286,"LINESTRING (-8.6551037 40.6183481, -8.6551238 40.6183524, -8.655144699999999 40.618352, -8.6551645 40.6183471)",,EN 109,,roundabout,,,
48,3133,4736412822,4736412823,0,480672088,,50,residential,True,11.77,"LINESTRING (-8.6551645 40.6183471, -8.6551832 40.6183367, -8.655196500000001 40.6183222, -8.655202900000001 40.6183052, -8.655201699999999 40.6182876, -8.655193000000001 40.6182713, -8.655177800000001 40.6182579)",,EN 109,,roundabout,,,
49,3139,4736412823,2514878117,0,480672087,,50,residential,False,30.823999999999998,"LINESTRING (-8.655177800000001 40.6182579, -8.6552282 40.6181846, -8.6553279 40.6180054)",2,EN 109,,,,,
50,3140,4736412823,2514877162,0,480672088,,50,residential,True,4.253,"LINESTRING (-8.655177800000001 40.6182579, -8.655163699999999 40.618251, -8.6551478 40.6182468, -8.6551311 40.6182456)",,EN 109,,roundabout,,,
51,3517,1507823062,1110673646,0,131117147,,70,residential,True,52.191,"LINESTRING (-8.6273152 40.6453068, -8.6272597 40.64537, -8.6269882 40.6456792, -8.626972200000001 40.6456974)",2,EN 109,EN 16,,,,
52,3597,1272475180,1443531718,0,"[152282270, 152282267, 549206262]",,50,residential,True,152.807,"LINESTRING (-8.6452265 40.6287268, -8.645047999999999 40.6288643, -8.6448467 40.6290078, -8.644606400000001 40.6291691, -8.6441812 40.6294487, -8.644016000000001 40.629572, -8.643891500000001 40.6296543)",2,EN 109,yes,,,,
53,4047,384987357,1712929691,0,240178185,Rua da República,50,residential,False,93.45,"LINESTRING (-8.5971174 40.6786845, -8.5960389 40.6788777)",2,EN 109,EN 16,,,,
54,4048,384987357,1700602178,0,240178185,Rua da República,50,residential,False,43.117,"LINESTRING (-8.5971174 40.6786845, -8.5974156 40.6785804, -8.5975608 40.6784959)",2,EN 109,EN 16,,,,
55,4057,384987364,1700602178,0,236253623,Rua da República,50,residential,False,30.296,"LINESTRING (-8.5978086 40.6782987, -8.5976125 40.6784579, -8.5975608 40.6784959)",2,EN 109,EN 16,,,,
56,4058,384987364,1711773379,0,559777267,Rua da República,50,residential,False,188.928,"LINESTRING (-8.5978086 40.6782987, -8.5981638 40.6780021, -8.5989451 40.6773601, -8.599325 40.677048)",2,EN 109,EN 16,,,,
57,4059,1712918757,5287687111,0,547259812,Rua da República,50,residential,False,9.24,"LINESTRING (-8.607448700000001 40.6687429, -8.607383 40.6688094)",3,EN 109,EN 16,,,,
58,4060,1712918757,1712297743,0,547259813,Rua da República,50,residential,False,25.313,"LINESTRING (-8.607448700000001 40.6687429, -8.607619100000001 40.6685555)",3,EN 109,EN 16,,,,
