,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
113,7036,330341306,404735527,0,"[549319298, 33653989]",True,residential,303.76199999999994,,"LINESTRING (-8.6320415 40.6404485, -8.632021099999999 40.6403397, -8.6320427 40.6402607, -8.632100899999999 40.6401463, -8.632453699999999 40.639753, -8.6327821 40.6393821, -8.6337618 40.6383085, -8.6339159 40.6381586)",50,"['1', '2']",EN 109,,,,,
114,7037,330341308,330341607,0,30008054,True,residential,17.628,,"LINESTRING (-8.631481000000001 40.641166, -8.6315902 40.6411463, -8.631683499999999 40.6411271)",50,3,EN 109,,,roundabout,,
115,7116,1406434291,385010593,0,118248798,True,residential,199.503,,"LINESTRING (-8.636532600000001 40.6352358, -8.6367239 40.6350241, -8.637006899999999 40.6347494, -8.637271399999999 40.634509, -8.637826499999999 40.6340591, -8.638075300000001 40.6338814)",50,1,EN 109,,,,,
116,7203,330341455,1110673533,0,601812376,True,residential,250.389,,"LINESTRING (-8.6234296 40.6495624, -8.621733900000001 40.6514105)",50,2,EN 109,EN 16,,,,
122,7384,1489591519,2761707764,0,507548444,True,residential,33.513000000000005,,"LINESTRING (-8.650140800000001 40.6241761, -8.6502961 40.6240031, -8.650384900000001 40.6239404)",50,1,EN 109,,,,,
123,7398,330341607,385009969,0,30008054,True,residential,40.221000000000004,,"LINESTRING (-8.631683499999999 40.6411271, -8.631811900000001 40.6410586, -8.6319157 40.6409885, -8.6320275 40.6408807)",50,3,EN 109,,,roundabout,,
130,7544,1242340729,457547169,0,"[601131928, 601131924, 601131925, 601131926]",True,residential,308.221,,"LINESTRING (-8.6200285 40.6534621, -8.620163700000001 40.6533132, -8.620807900000001 40.6526117, -8.621083799999999 40.6523117, -8.621681000000001 40.6516742, -8.622126700000001 40.6511929)",50,"['3', '1', '2']",EN 109,EN 16,,,,
131,7595,457547169,1110673691,0,549319299,True,residential,212.156,,"LINESTRING (-8.622126700000001 40.6511929, -8.6231913 40.6500498, -8.6235608 40.6496258)",50,2,EN 109,EN 16,,,,
132,7645,6831586788,2515674868,0,"[729175577, 172518596]",True,residential,120.98599999999999,,"LINESTRING (-8.650205 40.6238573, -8.6501869 40.6239547, -8.650143 40.6240247, -8.6498741 40.6242855, -8.649809299999999 40.6243567, -8.649723399999999 40.6244626, -8.649454 40.6247711)",50,2,EN 109,,yes,,,
136,7976,399777640,2516017222,0,"[172518594, 283940807, 507548434, 507548435, 507548436, 152282271]",True,residential,486.54200000000003,,"LINESTRING (-8.645239399999999 40.6288096, -8.645640999999999 40.628534, -8.646009899999999 40.6282723, -8.6470538 40.6275319, -8.647114 40.6274916, -8.64739 40.6272659, -8.6476094 40.6270457, -8.647843399999999 40.626784, -8.6487003 40.6257951, -8.648952299999999 40.6254993)",50,"['2', '1']",EN 109,,,,yes,
